business_name,segment,area,email,phone,website,priority,outreach_channel,notes,status,personalized_hook
Dezzerto,Multi-outlet sweets/dessert cafe,"Bajaj Nagar; Jaripatka; Lakadganj; Manish Nagar (Somalwada)",info@dezzerto.co.in,9730760446,https://www.dezzerto.co.in,HIGH,email+whatsapp,4 outlets — strong multi-branch POS fit; public email on website,not_contacted,Multi-outlet dessert chain across 4 Nagpur locations — offline billing + WhatsApp receipts angle
Centre Point Hotel Nagpur,Hotel F&B / restaurants,Civil Lines / Ramdaspeth area,info.nagpur@cpgh.in,9266923456 / 0712-6699000,https://cpgh.in,HIGH,email,Full-service hotel with dining (Foints etc.); F&B manager or GM is right contact,not_contacted,Hotel F&B ops — POS + kitchen display + staff roles for restaurant outlets
Fun N Food Village Nagpur,F&B / F&B retail / park food,Amravati Road Bazargaon,marketing.nagpur@funnfood.com,8080523041 / 8744969944,https://www.funnfood.com/nagpur/,MEDIUM,email,Marketing email public; multi-counter F&B at leisure park,not_contacted,Multiple food counters at leisure destination — unified billing angle
Food-n-Food Caterers,Catering / bulk F&B,Buddha Nagar (citywide service),contact@foodnfood.online / query@foodnfood.online,8983202110,https://www.foodnfood.online,MEDIUM,email+whatsapp,Caterer not pure restaurant; still bill/order heavy; WhatsApp strong,not_contacted,Event catering ops in Nagpur — order + billing workflow
Haldiram's (Nagpur group / Thaat Baat),Multi-outlet restaurant + sweets,Sitabuldi + multiple Nagpur,support@haldirams.com,0712-2779451 / 7122540946 (Thaat Baat),https://www.haldirams.com,LOW,email_only_if_local,Large brand — HQ support email may not convert; better walk-in local outlet manager,not_contacted,Local Thaat Baat / outlet ops — prefer phone/walk-in over corporate support inbox
Hotel The Nagpur Ashok,Hotel F&B,Laxmi Nagar Ath Rasta,booking@thenagpurashok.com (verify on site),8888870722,https://www.thenagpurashok.com,HIGH,email+call,Confirm email on live site before send; hotel with F&B,not_contacted,Hotel restaurant billing + banquet F&B
Krishnum Group of Restaurants,Multi-branch veg restaurant,Sadar; Gandhibagh; Wardha Road; Hingna MIDC,,0712-2556213 / 8080512252 / 9860357882 / 8530255551,https://krishnum.in,HIGH,whatsapp+call,No public email found; 4 branches — ideal multi-outlet pitch; call/WA first,not_contacted,4 branches across Nagpur — multi-outlet POS + staff permissions
Uttar Dakshin,Restaurant,Sadar Mount Road / Pratap Nagar,,9326881014,https://uttardakshin.in,HIGH,whatsapp+call,No public email; Instagram uttardakshin.ngp; popular multi-location style brand,not_contacted,Busy Sadar dining — speed of billing + WhatsApp bills
Veggietude Restaurant,Veg restaurant,Civil Lines,,8327434343,https://www.instagram.com/veggietude_nagpur/,MEDIUM,whatsapp+call,Phone + Instagram only; good mid-size dine-in,not_contacted,Civil Lines veg dining — QR order + KDS pitch
Dhundh Kitchen / Club,Restaurant + nightlife F&B,Amravati Road,,(find on reservation form / Instagram dhundhnagpur),https://www.dhundh.in,MEDIUM,instagram+whatsapp,Website has reservation form; check contact page / IG for phone,not_contacted,Large format kitchen + peak-hour billing
Eat Street by Heritage,Restaurant,Byramji Town / Nelson Square,,7888098661,,MEDIUM,whatsapp+call,Phone from public Instagram/local posts,not_contacted,Byramji Town dining — offline POS when Wi-Fi weak
Murliwala Cafe And Restaurant,Cafe restaurant,New Nandanvan,,7668663860,,LOW,whatsapp+call,Directory listing only; verify before outreach,not_contacted,Local cafe — simple POS + WhatsApp receipt
Card Pablo The Art Cafe Lounge,Cafe lounge,Civil Lines,,(Google/Zomato listing),,MEDIUM,whatsapp+call,Popular Civil Lines cafe lounge — get phone from Maps,not_contacted,Cafe lounge peak hours — fast billing
BellaVista Cafe & Skybar,Cafe / bar,Civil Lines,,(Google/Zomato listing),,MEDIUM,whatsapp+call,Maps/Zomato for phone; mid-premium segment,not_contacted,Skybar/cafe ops — KDS + billing
Uptown501 Cafe-lounge,Cafe lounge,Dharampeth,,(Google/Zomato listing),,MEDIUM,whatsapp+call,Maps for phone; Dharampeth footfall area,not_contacted,Dharampeth cafe-lounge — QR table order angle
Brickhaus / Pure Veg Brickhaus,Fine dine veg,Civil Lines area,,(Google/Swiggy listing),,MEDIUM,whatsapp+call,Fine dining — staff roles + inventory angle,not_contacted,Fine dine — permissions + inventory
Shahi Haandi,Restaurant,Gokulpeth / Canal Road Dharampeth,,(Maps/local posts),,MEDIUM,whatsapp+call,Near Huboho Cafe; dinner-focused,not_contacted,Dinner rush billing
Indian Coffee House Nagpur,Classic restaurant,Sadar / city,,(Google Maps),,MEDIUM,call+visit,Often chain process; local manager walk-in works better than cold email,not_contacted,Classic outlet — simple billing upgrade
Golden Harvest,Restaurant,Nagpur (verify area),,(directory / Maps),,LOW,call,Older directory listings; verify still open,not_contacted,Verify business first
Pizza Hut Wardhaman Nagar,QSR franchise,Wardhaman Nagar,,(franchise / brand channel),https://restaurants.pizzahut.co.in/,LOW,skip_or_franchise,Franchise POS usually locked by brand — low fit unless independent franchisee open to side tools,not_contacted,Low priority franchise lock-in
